Tid,Fylke,Befolkning,Personbiler,Bruttoprodukt,Befolkning_pct_increase,Personbiler_pct_increase,Bruttoprodukt_pct_increase
2010,Sogn og Fjordane (-2019),107080.0,50219.0,36819.0,0.6182293612252522,2.8930276394779435,7.159696149480485
2011,Sogn og Fjordane (-2019),107742.0,51354.0,38176.0,0.4260177089714317,2.260100758676995,3.685597110187675
2012,Sogn og Fjordane (-2019),108201.0,52526.0,38562.0,0.46117873217437916,2.282198076099233,1.0111064543168484
2013,Sogn og Fjordane (-2019),108700.0,53456.0,40603.0,0.2437902483900644,1.7705517267638884,5.292775270992169
2014,Sogn og Fjordane (-2019),108965.0,54344.0,42699.0,0.18813380443261596,1.6611792876384317,5.162180134472822
2015,Sogn og Fjordane (-2019),109170.0,55525.0,44316.0,0.3297609233305853,2.173192992786692,3.78697393381578
2016,Sogn og Fjordane (-2019),109530.0,56691.0,48084.0,0.6719620195380261,2.09995497523638,8.502572434335228
2017,Sogn og Fjordane (-2019),110266.0,57929.0,48602.0,-0.03264832314584731,2.183768146619393,1.0772814241743616
2000,Sør-Trøndelag (-2017),262852.0,,,0.7658302010256722,,
2001,Sør-Trøndelag (-2017),264865.0,,,0.5504691069035169,,
2002,Sør-Trøndelag (-2017),266323.0,,,0.7002774826057081,,
2003,Sør-Trøndelag (-2017),268188.0,,,0.774829597148269,,
2004,Sør-Trøndelag (-2017),270266.0,,,0.8513834518585393,,
2005,Sør-Trøndelag (-2017),272567.0,,,1.04047812097576,,
2006,Sør-Trøndelag (-2017),275403.0,,,1.2465368932074088,,
2007,Sør-Trøndelag (-2017),278836.0,,,1.4908404940538524,,
2008,Sør-Trøndelag (-2017),282993.0,127638.0,94612.0,1.3201739972366808,,
2009,Sør-Trøndelag (-2017),286729.0,130388.0,96238.0,1.3315709258568196,2.154530782368887,1.7185980636705702
2010,Sør-Trøndelag (-2017),290547.0,133607.0,103829.0,1.2111637704054765,2.4687854710556185,7.887736652881398
2011,Sør-Trøndelag (-2017),294066.0,136500.0,107642.0,1.3207919310630947,2.165305710030163,3.6723844012751736
2012,Sør-Trøndelag (-2017),297950.0,139493.0,115955.0,1.6126866923980534,2.1926739926739924,7.722821946823731
2013,Sør-Trøndelag (-2017),302755.0,141896.0,123335.0,1.1368928671698237,1.7226670872373524,6.364537967314907
2014,Sør-Trøndelag (-2017),306197.0,144219.0,129673.0,1.2573604574832542,1.6371145063990529,5.1388494750070945
2015,Sør-Trøndelag (-2017),310047.0,147227.0,137720.0,1.0717729892564676,2.0857168611625374,6.205609494651932
2016,Sør-Trøndelag (-2017),313370.0,150181.0,143358.0,1.2742125921434726,2.0064254518532607,4.0938135347081035
2017,Sør-Trøndelag (-2017),317363.0,152640.0,153859.0,-100.0,1.6373575885098648,7.32501848519092
2000,Telemark (-2019),165038.0,,,0.33749803075655305,,
2001,Telemark (-2019),165595.0,,,0.06944654126030375,,
2002,Telemark (-2019),165710.0,,,0.08750226298956008,,
2003,Telemark (-2019),165855.0,,,0.1621898646408007,,
2004,Telemark (-2019),166124.0,,,0.09932339698056875,,
2005,Telemark (-2019),166289.0,,,-0.08960304048974978,,
2006,Telemark (-2019),166140.0,,,0.01805706031058144,,
2007,Telemark (-2019),166170.0,,,0.3376060660769092,,
2008,Telemark (-2019),166731.0,79813.0,51183.0,0.4900108558096574,,
2009,Telemark (-2019),167548.0,81429.0,48884.0,0.407644376536873,2.0247328129502713,-4.491725768321513
2010,Telemark (-2019),168231.0,83010.0,51472.0,0.5670774114164452,1.9415687285856391,5.294165780214385
2011,Telemark (-2019),169185.0,84341.0,51737.0,0.4953157785855721,1.6034212745452354,0.5148430214485545
2012,Telemark (-2019),170023.0,85876.0,53232.0,0.5169888779753327,1.8199926488896265,2.889614782457429
2013,Telemark (-2019),170902.0,87053.0,55740.0,0.3317690840364654,1.3705808374866086,4.711451758340847
2014,Telemark (-2019),171469.0,88265.0,57692.0,0.2822667654211548,1.392255292752691,3.5019734481521345
2015,Telemark (-2019),171953.0,89720.0,62342.0,0.314620855698941,1.648445023508752,8.06004298689593
2016,Telemark (-2019),172494.0,91050.0,62442.0,0.47132074159101184,1.4823896567097639,0.1604055051169356
2017,Telemark (-2019),173307.0,92021.0,65409.0,0.048468902006266336,1.0664470071389347,4.7516094936100695
2000,Troms - Romsa (-2019),151160.0,,,0.40817676634030164,,
2001,Troms - Romsa (-2019),151777.0,,,-0.06852158100370939,,
2002,Troms - Romsa (-2019),151673.0,,,0.3784457352330342,,
2003,Troms - Romsa (-2019),152247.0,,,0.2502512364775661,,
2004,Troms - Romsa (-2019),152628.0,,,0.07403621878030243,,
2005,Troms - Romsa (-2019),152741.0,,,0.5525693821567228,,
2006,Troms - Romsa (-2019),153585.0,,,0.3587589933912817,,
2007,Troms - Romsa (-2019),154136.0,,,0.3282815176208024,,
2008,Troms - Romsa (-2019),154642.0,67146.0,43815.0,0.589102572393011,,
2009,Troms - Romsa (-2019),155553.0,68510.0,47388.0,0.604938509704088,2.0313942751615883,8.154741526874359
2010,Troms - Romsa (-2019),156494.0,70552.0,50116.0,0.6773422623231561,2.9805867756531894,5.7567316620241415
2011,Troms - Romsa (-2019),157554.0,72345.0,52381.0,0.6956345126115491,2.5413879124617305,4.519514725836061
2012,Troms - Romsa (-2019),158650.0,74770.0,54679.0,1.1144027734005673,3.3519939180316536,4.387086920830072
2013,Troms - Romsa (-2019),160418.0,76976.0,59442.0,1.0173421935194304,2.9503811689180153,8.710839627644983
2014,Troms - Romsa (-2019),162050.0,78826.0,62368.0,0.8657821659981487,2.4033464976096446,4.922445408970089
